,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,94,0,0,1676379617,0.0,100,6,0,,TNOTEW-23FEB17-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-02-14 13:00:17,2023-02-14
1,94,91,0,1676379617,0.0,9,6,0,,TNOTEW-23FEB17-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-02-14 13:00:17,2023-02-14
2,94,92,0,1676379617,0.0,8,6,0,,TNOTEW-23FEB17-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-02-14 13:00:17,2023-02-14
3,95,0,0,1676379617,0.0,100,5,0,,TNOTEW-23FEB17-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-02-14 13:00:17,2023-02-14
4,93,0,0,1676379617,0.0,100,7,0,,TNOTEW-23FEB17-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-02-14 13:00:17,2023-02-14
5,93,89,0,1676379617,0.0,11,7,0,,TNOTEW-23FEB17-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-02-14 13:00:17,2023-02-14
6,93,90,0,1676379617,0.0,10,7,0,,TNOTEW-23FEB17-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-02-14 13:00:17,2023-02-14
7,93,91,0,1676379617,0.0,9,7,0,,TNOTEW-23FEB17-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-02-14 13:00:17,2023-02-14
8,95,0,0,1676379617,0.0,100,5,0,,TNOTEW-23FEB17-B3.72,between,3.73,3.71,,3.71 to 3.73,finalized,2023-02-14 13:00:17,2023-02-14
9,94,0,0,1676379617,0.0,100,6,0,,TNOTEW-23FEB17-B3.72,between,3.73,3.71,,3.71 to 3.73,finalized,2023-02-14 13:00:17,2023-02-14
10,93,0,0,1676379617,0.0,100,7,0,,TNOTEW-23FEB17-B3.72,between,3.73,3.71,,3.71 to 3.73,finalized,2023-02-14 13:00:17,2023-02-14
11,93,89,0,1676379617,0.0,11,7,0,,TNOTEW-23FEB17-B3.72,between,3.73,3.71,,3.71 to 3.73,finalized,2023-02-14 13:00:17,2023-02-14
12,93,90,0,1676379617,0.0,10,7,0,,TNOTEW-23FEB17-B3.72,between,3.73,3.71,,3.71 to 3.73,finalized,2023-02-14 13:00:17,2023-02-14
13,94,0,0,1676379617,0.0,100,6,0,,TNOTEW-23FEB17-B3.75,between,3.76,3.74,,3.74 to 3.76,finalized,2023-02-14 13:00:17,2023-02-14
14,94,90,0,1676379617,0.0,10,6,0,,TNOTEW-23FEB17-B3.75,between,3.76,3.74,,3.74 to 3.76,finalized,2023-02-14 13:00:17,2023-02-14
15,94,91,0,1676379617,0.0,9,6,0,,TNOTEW-23FEB17-B3.75,between,3.76,3.74,,3.74 to 3.76,finalized,2023-02-14 13:00:17,2023-02-14
16,81,0,0,1676379617,0.0,100,19,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:00:17,2023-02-14
17,81,74,0,1676379617,0.0,26,19,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:00:17,2023-02-14
18,81,76,0,1676379617,0.0,24,19,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:00:17,2023-02-14
19,96,0,0,1676379618,0.0,100,4,0,,TNOTEW-23FEB17-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-02-14 13:00:18,2023-02-14
20,95,0,0,1676379618,0.0,100,5,0,,TNOTEW-23FEB17-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-02-14 13:00:18,2023-02-14
21,95,92,0,1676379618,0.0,8,5,0,,TNOTEW-23FEB17-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-02-14 13:00:18,2023-02-14
22,95,93,0,1676379618,0.0,7,5,0,,TNOTEW-23FEB17-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-02-14 13:00:18,2023-02-14
23,94,0,0,1676379618,0.0,100,6,0,,TNOTEW-23FEB17-B3.66,between,3.67,3.65,,3.65 to 3.67,finalized,2023-02-14 13:00:18,2023-02-14
24,93,0,0,1676379618,0.0,100,7,0,,TNOTEW-23FEB17-B3.66,between,3.67,3.65,,3.65 to 3.67,finalized,2023-02-14 13:00:18,2023-02-14
25,93,88,0,1676379618,0.0,12,7,0,,TNOTEW-23FEB17-B3.66,between,3.67,3.65,,3.65 to 3.67,finalized,2023-02-14 13:00:18,2023-02-14
26,93,90,0,1676379618,0.0,10,7,0,,TNOTEW-23FEB17-B3.66,between,3.67,3.65,,3.65 to 3.67,finalized,2023-02-14 13:00:18,2023-02-14
27,93,0,0,1676379618,0.0,100,7,0,,TNOTEW-23FEB17-B3.69,between,3.7,3.68,,3.68 to 3.7,finalized,2023-02-14 13:00:18,2023-02-14
28,93,89,0,1676379618,0.0,11,7,0,,TNOTEW-23FEB17-B3.69,between,3.7,3.68,,3.68 to 3.7,finalized,2023-02-14 13:00:18,2023-02-14
29,93,90,0,1676379618,0.0,10,7,0,,TNOTEW-23FEB17-B3.69,between,3.7,3.68,,3.68 to 3.7,finalized,2023-02-14 13:00:18,2023-02-14
30,95,0,0,1676379618,0.0,100,5,0,,TNOTEW-23FEB17-B3.78,between,3.79,3.77,,3.77 to 3.79,finalized,2023-02-14 13:00:18,2023-02-14
31,95,91,0,1676379618,0.0,9,5,0,,TNOTEW-23FEB17-B3.78,between,3.79,3.77,,3.77 to 3.79,finalized,2023-02-14 13:00:18,2023-02-14
32,95,92,0,1676379618,0.0,8,5,0,,TNOTEW-23FEB17-B3.78,between,3.79,3.77,,3.77 to 3.79,finalized,2023-02-14 13:00:18,2023-02-14
33,96,0,0,1676379618,0.0,100,4,0,,TNOTEW-23FEB17-B3.81,between,3.82,3.8,,3.8 to 3.82,finalized,2023-02-14 13:00:18,2023-02-14
34,96,93,0,1676379618,0.0,7,4,0,,TNOTEW-23FEB17-B3.81,between,3.82,3.8,,3.8 to 3.82,finalized,2023-02-14 13:00:18,2023-02-14
35,96,94,0,1676379618,0.0,6,4,0,,TNOTEW-23FEB17-B3.81,between,3.82,3.8,,3.8 to 3.82,finalized,2023-02-14 13:00:18,2023-02-14
36,97,0,0,1676379618,0.0,100,3,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:00:18,2023-02-14
37,97,95,0,1676379618,0.0,5,3,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:00:18,2023-02-14
38,94,0,0,1676379618,0.0,100,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:00:18,2023-02-14
39,94,91,0,1676379618,0.0,9,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:00:18,2023-02-14
40,94,92,0,1676379618,0.0,8,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:00:18,2023-02-14
41,100,1,0,1676379623,0.0,99,0,0,,TNOTEW-23FEB17-B3.87,between,3.88,3.86,,3.86 to 3.88,finalized,2023-02-14 13:00:23,2023-02-14
42,82,76,0,1676379795,0.0,24,18,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:03:15,2023-02-14
43,95,92,0,1676379795,0.0,8,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:03:15,2023-02-14
44,95,91,0,1676379795,0.0,9,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:03:15,2023-02-14
45,81,76,0,1676379796,0.0,24,19,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:03:16,2023-02-14
46,94,91,0,1676379796,0.0,9,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:03:16,2023-02-14
47,94,92,0,1676379796,0.0,8,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:03:16,2023-02-14
48,96,93,0,1676380033,0.0,7,4,0,,TNOTEW-23FEB17-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-02-14 13:07:13,2023-02-14
49,96,92,0,1676380033,0.0,8,4,0,,TNOTEW-23FEB17-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-02-14 13:07:13,2023-02-14
50,95,92,0,1676380033,0.0,8,5,0,,TNOTEW-23FEB17-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-02-14 13:07:13,2023-02-14
51,95,91,0,1676380033,0.0,9,5,0,,TNOTEW-23FEB17-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-02-14 13:07:13,2023-02-14
52,95,91,0,1676380033,0.0,9,5,0,,TNOTEW-23FEB17-B3.75,between,3.76,3.74,,3.74 to 3.76,finalized,2023-02-14 13:07:13,2023-02-14
53,95,90,0,1676380033,0.0,10,5,0,,TNOTEW-23FEB17-B3.75,between,3.76,3.74,,3.74 to 3.76,finalized,2023-02-14 13:07:13,2023-02-14
54,82,76,0,1676380033,0.0,24,18,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:07:13,2023-02-14
55,94,91,0,1676380034,0.0,9,6,0,,TNOTEW-23FEB17-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-02-14 13:07:14,2023-02-14
56,94,92,0,1676380034,0.0,8,6,0,,TNOTEW-23FEB17-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-02-14 13:07:14,2023-02-14
57,94,90,0,1676380034,0.0,10,6,0,,TNOTEW-23FEB17-B3.75,between,3.76,3.74,,3.74 to 3.76,finalized,2023-02-14 13:07:14,2023-02-14
58,94,91,0,1676380034,0.0,9,6,0,,TNOTEW-23FEB17-B3.75,between,3.76,3.74,,3.74 to 3.76,finalized,2023-02-14 13:07:14,2023-02-14
59,96,92,0,1676380034,0.0,8,4,0,,TNOTEW-23FEB17-B3.78,between,3.79,3.77,,3.77 to 3.79,finalized,2023-02-14 13:07:14,2023-02-14
60,96,91,0,1676380034,0.0,9,4,0,,TNOTEW-23FEB17-B3.78,between,3.79,3.77,,3.77 to 3.79,finalized,2023-02-14 13:07:14,2023-02-14
61,95,91,0,1676380034,0.0,9,5,0,,TNOTEW-23FEB17-B3.78,between,3.79,3.77,,3.77 to 3.79,finalized,2023-02-14 13:07:14,2023-02-14
62,95,92,0,1676380034,0.0,8,5,0,,TNOTEW-23FEB17-B3.78,between,3.79,3.77,,3.77 to 3.79,finalized,2023-02-14 13:07:14,2023-02-14
63,97,94,0,1676380034,0.0,6,3,0,,TNOTEW-23FEB17-B3.81,between,3.82,3.8,,3.8 to 3.82,finalized,2023-02-14 13:07:14,2023-02-14
64,97,93,0,1676380034,0.0,7,3,0,,TNOTEW-23FEB17-B3.81,between,3.82,3.8,,3.8 to 3.82,finalized,2023-02-14 13:07:14,2023-02-14
65,98,95,0,1676380034,0.0,5,2,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:07:14,2023-02-14
66,98,94,0,1676380034,0.0,6,2,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:07:14,2023-02-14
67,97,94,0,1676380034,0.0,6,3,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:07:14,2023-02-14
68,97,95,0,1676380034,0.0,5,3,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:07:14,2023-02-14
69,95,92,0,1676380034,0.0,8,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:07:14,2023-02-14
70,95,91,0,1676380034,0.0,9,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:07:14,2023-02-14
71,94,91,0,1676380034,0.0,9,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:07:14,2023-02-14
72,94,92,0,1676380034,0.0,8,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:07:14,2023-02-14
73,95,92,0,1676380035,0.0,8,5,0,,TNOTEW-23FEB17-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-02-14 13:07:15,2023-02-14
74,95,93,0,1676380035,0.0,7,5,0,,TNOTEW-23FEB17-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-02-14 13:07:15,2023-02-14
75,96,93,0,1676380035,0.0,7,4,0,,TNOTEW-23FEB17-B3.81,between,3.82,3.8,,3.8 to 3.82,finalized,2023-02-14 13:07:15,2023-02-14
76,96,94,0,1676380035,0.0,6,4,0,,TNOTEW-23FEB17-B3.81,between,3.82,3.8,,3.8 to 3.82,finalized,2023-02-14 13:07:15,2023-02-14
77,82,77,0,1676380035,0.0,23,18,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:07:15,2023-02-14
78,98,95,0,1676380095,0.0,5,2,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:08:15,2023-02-14
79,83,77,0,1676380095,0.0,23,17,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:08:15,2023-02-14
80,83,76,0,1676380095,0.0,24,17,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:08:15,2023-02-14
81,95,92,0,1676380095,0.0,8,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:08:15,2023-02-14
82,95,91,0,1676380095,0.0,9,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:08:15,2023-02-14
83,97,95,0,1676380096,0.0,5,3,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:08:16,2023-02-14
84,82,76,0,1676380096,0.0,24,18,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:08:16,2023-02-14
85,82,77,0,1676380096,0.0,23,18,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:08:16,2023-02-14
86,94,91,0,1676380096,0.0,9,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:08:16,2023-02-14
87,94,92,0,1676380096,0.0,8,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:08:16,2023-02-14
88,98,95,0,1676380155,0.0,5,2,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:09:15,2023-02-14
89,97,95,0,1676380155,0.0,5,3,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:09:15,2023-02-14
90,83,77,0,1676380155,0.0,23,17,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:09:15,2023-02-14
91,83,76,0,1676380155,0.0,24,17,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:09:15,2023-02-14
92,82,76,0,1676380155,0.0,24,18,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:09:15,2023-02-14
93,95,92,0,1676380155,0.0,8,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:09:15,2023-02-14
94,95,91,0,1676380155,0.0,9,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:09:15,2023-02-14
95,94,91,0,1676380155,0.0,9,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:09:15,2023-02-14
96,94,92,0,1676380155,0.0,8,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:09:15,2023-02-14
97,81,76,0,1676380156,0.0,24,19,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:09:16,2023-02-14
98,81,77,0,1676380156,0.0,23,19,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:09:16,2023-02-14
99,98,95,0,1676380222,0.0,5,2,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:10:22,2023-02-14
100,97,95,0,1676380222,0.0,5,3,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:10:22,2023-02-14
101,83,77,0,1676380222,0.0,23,17,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:10:22,2023-02-14
102,83,76,0,1676380222,0.0,24,17,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:10:22,2023-02-14
103,82,76,0,1676380222,0.0,24,18,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:10:22,2023-02-14
104,82,77,0,1676380222,0.0,23,18,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:10:22,2023-02-14
105,95,92,0,1676380222,0.0,8,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:10:22,2023-02-14
106,95,91,0,1676380222,0.0,9,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:10:22,2023-02-14
107,94,91,0,1676380222,0.0,9,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:10:22,2023-02-14
108,94,92,0,1676380222,0.0,8,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:10:22,2023-02-14
109,94,90,0,1676380273,0.0,10,6,0,,TNOTEW-23FEB17-B3.72,between,3.73,3.71,,3.71 to 3.73,finalized,2023-02-14 13:11:13,2023-02-14
110,93,90,0,1676380273,0.0,10,7,0,,TNOTEW-23FEB17-B3.72,between,3.73,3.71,,3.71 to 3.73,finalized,2023-02-14 13:11:13,2023-02-14
111,98,95,0,1676380334,0.0,5,2,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:12:14,2023-02-14
112,97,95,0,1676380334,0.0,5,3,0,,TNOTEW-23FEB17-B3.84,between,3.85,3.83,,3.83 to 3.85,finalized,2023-02-14 13:12:14,2023-02-14
113,100,0,0,1676380334,0.0,100,0,0,,TNOTEW-23FEB17-B3.87,between,3.88,3.86,,3.86 to 3.88,finalized,2023-02-14 13:12:14,2023-02-14
114,83,77,0,1676380334,0.0,23,17,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:12:14,2023-02-14
115,83,76,0,1676380334,0.0,24,17,0,,TNOTEW-23FEB17-T3.56,less,3.56,,,3.55 or below,finalized,2023-02-14 13:12:14,2023-02-14
116,95,92,0,1676380334,0.0,8,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:12:14,2023-02-14
117,95,91,0,1676380334,0.0,9,5,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:12:14,2023-02-14
118,94,91,0,1676380334,0.0,9,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:12:14,2023-02-14
119,94,92,0,1676380334,0.0,8,6,0,,TNOTEW-23FEB17-T3.88,greater,,3.88,,3.89 or above,finalized,2023-02-14 13:12:14,2023-02-14
