,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,68,0,0,1646147306,0.0,100,32,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:26,2022-03-01
1,67,0,0,1646147307,0.0,100,33,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
2,66,0,0,1646147307,0.0,100,34,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
3,65,0,0,1646147307,0.0,100,35,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
4,64,0,0,1646147307,0.0,100,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
5,64,60,0,1646147307,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
6,64,60,0,1646147307,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
7,64,60,0,1646147307,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
8,64,60,0,1646147307,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
9,64,60,0,1646147307,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:08:27,2022-03-01
10,94,0,0,1646147307,0.0,100,6,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:27,2022-03-01
11,93,0,0,1646147307,0.0,100,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:27,2022-03-01
12,92,0,0,1646147307,0.0,100,8,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:27,2022-03-01
13,91,0,0,1646147307,0.0,100,9,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:27,2022-03-01
14,90,0,0,1646147307,0.0,100,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:27,2022-03-01
15,90,87,0,1646147307,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:27,2022-03-01
16,90,87,0,1646147307,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:27,2022-03-01
17,100,97,0,1646147307,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:08:27,2022-03-01
18,100,97,0,1646147307,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:08:27,2022-03-01
19,100,97,0,1646147307,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:08:27,2022-03-01
20,100,97,0,1646147307,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:08:27,2022-03-01
21,100,97,0,1646147307,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:08:27,2022-03-01
22,90,87,0,1646147308,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:28,2022-03-01
23,90,87,0,1646147308,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:28,2022-03-01
24,90,87,0,1646147308,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:08:28,2022-03-01
25,64,60,0,1646147435,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
26,64,60,0,1646147435,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
27,64,60,0,1646147435,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
28,64,60,0,1646147435,0.0,40,36,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
29,100,60,0,1646147435,0.0,40,0,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
30,100,59,0,1646147435,0.0,41,0,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
31,100,58,0,1646147435,0.0,42,0,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
32,100,57,0,1646147435,0.0,43,0,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
33,100,56,0,1646147435,0.0,44,0,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
34,100,0,0,1646147435,0.0,100,0,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
35,73,0,0,1646147435,0.0,100,27,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
36,72,0,0,1646147435,0.0,100,28,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
37,71,0,0,1646147435,0.0,100,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
38,70,0,0,1646147435,0.0,100,30,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
39,69,0,0,1646147435,0.0,100,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
40,69,65,0,1646147435,0.0,35,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
41,69,65,0,1646147435,0.0,35,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
42,69,65,0,1646147435,0.0,35,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
43,69,65,0,1646147435,0.0,35,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:35,2022-03-01
44,69,65,0,1646147436,0.0,35,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:10:36,2022-03-01
45,90,87,0,1646147436,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:36,2022-03-01
46,90,87,0,1646147436,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:36,2022-03-01
47,90,87,0,1646147436,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:36,2022-03-01
48,90,87,0,1646147436,0.0,13,10,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:36,2022-03-01
49,100,87,0,1646147436,0.0,13,0,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:36,2022-03-01
50,100,86,0,1646147436,0.0,14,0,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:36,2022-03-01
51,100,96,0,1646147436,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:10:36,2022-03-01
52,100,96,0,1646147436,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:10:36,2022-03-01
53,100,96,0,1646147436,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:10:36,2022-03-01
54,100,96,0,1646147436,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:10:36,2022-03-01
55,100,96,0,1646147436,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:10:36,2022-03-01
56,100,97,0,1646147436,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:10:36,2022-03-01
57,100,86,0,1646147437,0.0,14,0,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
58,100,86,0,1646147437,0.0,14,0,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
59,100,86,0,1646147437,0.0,14,0,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
60,100,86,0,1646147437,0.0,14,0,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
61,97,86,0,1646147437,0.0,14,3,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
62,96,86,0,1646147437,0.0,14,4,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
63,95,86,0,1646147437,0.0,14,5,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
64,94,86,0,1646147437,0.0,14,6,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
65,93,86,0,1646147437,0.0,14,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
66,93,90,0,1646147437,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
67,93,90,0,1646147437,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
68,93,90,0,1646147437,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
69,93,90,0,1646147437,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:10:37,2022-03-01
70,69,65,0,1646147733,0.0,35,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:33,2022-03-01
71,69,65,0,1646147733,0.0,35,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:33,2022-03-01
72,72,65,0,1646147733,0.0,35,28,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:33,2022-03-01
73,72,64,0,1646147733,0.0,36,28,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:33,2022-03-01
74,72,64,0,1646147733,0.0,36,28,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:33,2022-03-01
75,72,64,0,1646147733,0.0,36,28,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:33,2022-03-01
76,72,64,0,1646147733,0.0,36,28,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:33,2022-03-01
77,72,64,0,1646147733,0.0,36,28,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:33,2022-03-01
78,72,64,0,1646147734,0.0,36,28,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:34,2022-03-01
79,71,64,0,1646147734,0.0,36,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:34,2022-03-01
80,71,67,0,1646147734,0.0,33,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:34,2022-03-01
81,71,67,0,1646147734,0.0,33,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:34,2022-03-01
82,71,67,0,1646147734,0.0,33,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:15:34,2022-03-01
83,93,90,0,1646147734,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
84,93,90,0,1646147734,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
85,93,90,0,1646147734,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
86,93,90,0,1646147734,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
87,93,90,0,1646147734,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
88,93,89,0,1646147734,0.0,11,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
89,93,89,0,1646147734,0.0,11,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
90,93,89,0,1646147734,0.0,11,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
91,93,89,0,1646147734,0.0,11,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
92,93,89,0,1646147734,0.0,11,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:34,2022-03-01
93,100,96,0,1646147734,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:15:34,2022-03-01
94,100,96,0,1646147734,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:15:34,2022-03-01
95,100,96,0,1646147734,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:15:34,2022-03-01
96,100,96,0,1646147734,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:15:34,2022-03-01
97,100,96,0,1646147734,0.0,4,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:15:34,2022-03-01
98,100,98,0,1646147734,0.0,2,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:15:34,2022-03-01
99,100,98,0,1646147734,0.0,2,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:15:34,2022-03-01
100,93,89,0,1646147735,0.0,11,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:35,2022-03-01
101,93,89,0,1646147735,0.0,11,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:35,2022-03-01
102,93,90,0,1646147735,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:15:35,2022-03-01
103,71,67,0,1646148034,0.0,33,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
104,71,67,0,1646148034,0.0,33,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
105,71,67,0,1646148034,0.0,33,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
106,71,67,0,1646148034,0.0,33,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
107,71,67,0,1646148034,0.0,33,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
108,71,66,0,1646148034,0.0,34,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
109,71,65,0,1646148034,0.0,35,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
110,71,64,0,1646148034,0.0,36,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
111,71,63,0,1646148034,0.0,37,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
112,71,63,0,1646148034,0.0,37,29,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
113,70,63,0,1646148034,0.0,37,30,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
114,69,63,0,1646148034,0.0,37,31,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
115,68,63,0,1646148034,0.0,37,32,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
116,67,63,0,1646148034,0.0,37,33,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
117,67,63,0,1646148034,0.0,37,33,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
118,67,63,0,1646148034,0.0,37,33,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
119,67,63,0,1646148034,0.0,37,33,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
120,67,63,0,1646148034,0.0,37,33,0,,TNOTE-22MAR07-T1.8,greater,,1.8,,>1.8%,finalized,2022-03-01 15:20:34,2022-03-01
121,100,97,0,1646148034,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:20:34,2022-03-01
122,100,97,0,1646148034,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:20:34,2022-03-01
123,100,97,0,1646148034,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:20:34,2022-03-01
124,100,97,0,1646148034,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:20:34,2022-03-01
125,100,97,0,1646148034,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:20:34,2022-03-01
126,100,97,0,1646148034,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:20:34,2022-03-01
127,100,97,0,1646148034,0.0,3,0,0,,TNOTE-22MAR07-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-01 15:20:34,2022-03-01
128,93,90,0,1646148035,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:20:35,2022-03-01
129,93,90,0,1646148035,0.0,10,7,0,,TNOTE-22MAR07-T1.9,greater,,1.9,,>1.9%,finalized,2022-03-01 15:20:35,2022-03-01
